run_name,description,status,role,ngram,core_only,lambda_sel,shared_vocab,window,aggregate,has_did,notes
exp_shvocab_cv,"All R/D, Uni+Bi, CV, Shared Vocab",complete,MAIN,uni+bi,no,cv,0.00001,1,speech,yes,"Current main pipeline. Reuses 05/07 from exp_unigram_gst."
exp_uni_gst_core_cv,"Core 20%, Uni+Bi, CV, Shared Vocab",complete,robustness,uni+bi,yes,cv,0.00001,1,speech,yes,"Robustness: core training sample. Reuses 05/07 from exp_unigram_gst."
exp_unigram_gst,"All R/D, Uni+Bi, BIC, GST",complete,leader,uni+bi,no,bic,no,1,speech,yes,"Step 05/07 leader for speech-level unigram+bigram experiments."
exp_uni_gst_cv,"All R/D, Uni+Bi, CV, GST (no shared vocab)",complete,experiment,uni+bi,no,cv,no,1,speech,yes,"Like shvocab_cv but without shared vocabulary filter."
exp_uni_gst_leg,"All R/D, Uni+Bi, BIC, Legislator-level",complete,leader,uni+bi,no,bic,no,1,legislator,no,"Step 05/07 leader for legislator-level experiments."
exp_uni_gst_leg_cv,"All R/D, Uni+Bi, CV, Legislator-level",complete,experiment,uni+bi,no,cv,no,1,legislator,yes,"Legislator-level aggregation variant."
exp_uni_gst_leg_core,"Core 20%, Uni+Bi, BIC, Legislator-level",incomplete,experiment,uni+bi,yes,bic,no,1,legislator,no,"Models only; pipeline not completed."
exp_uni_gst_leg_core_cv,"Core 20%, Uni+Bi, CV, Legislator-level",complete,experiment,uni+bi,yes,cv,no,1,legislator,yes,"Legislator-level core 20% variant."
exp_unigram,"All R/D, Uni+Bi, BIC (no GST)",complete,experiment,uni+bi,no,bic,no,1,speech,yes,"Early experiment; no GST procedural filter."
main,"(legacy) Bigram-only, BIC, Widmer baseline",archived,legacy,bigram,no,bic,no,1,speech,no,"Old default â€” replaced by exp_shvocab_cv."
exp_core,"Core 20%, Bigram, BIC",complete,experiment,bigram,yes,bic,no,1,speech,yes,"Bigram-only core variant."
exp_cv,"All R/D, Bigram, CV",complete,experiment,bigram,no,cv,no,1,speech,yes,"Bigram-only CV variant."
exp_clean_vocab,"All R/D, Bigram, BIC, shared vocab 0.01%",complete,experiment,bigram,no,bic,0.0001,1,speech,yes,"Bigram with shared vocabulary filter."
exp_proba,"All R/D, Bigram, BIC, prob_direct norm",complete,experiment,bigram,no,bic,0.0001,1,speech,yes,"Alternative norm_method=prob_direct."
exp_win2,"All R/D, Bigram, BIC, 2-congress window",complete,experiment,bigram,no,bic,no,2,speech,yes,"2-congress rolling window."
exp_win3,"All R/D, Bigram, BIC, 3-congress window",complete,experiment,bigram,no,bic,no,3,speech,yes,"3-congress rolling window."
exp_cv_win2,"All R/D, Bigram, CV, 2-congress window",complete,experiment,bigram,no,cv,no,2,speech,yes,"CV + 2-congress window."
exp_cv_win3,"All R/D, Bigram, CV, 3-congress window",complete,experiment,bigram,no,cv,no,3,speech,yes,"CV + 3-congress window."
exp_core_win2,"Core 20%, Bigram, BIC, 2-congress window",complete,experiment,bigram,yes,bic,no,2,speech,yes,"Core + 2-congress window."
exp_core_win3,"Core 20%, Bigram, BIC, 3-congress window",complete,experiment,bigram,yes,bic,no,3,speech,yes,"Core + 3-congress window."
exp_core_cv_win3,"Core 20%, Bigram, CV, 3-congress window",complete,experiment,bigram,yes,cv,no,3,speech,yes,"Core + CV + 3-congress window."
exp_win2_shared,"All R/D, Bigram, BIC, 2-win, shared vocab",complete,experiment,bigram,no,bic,0.0001,2,speech,yes,"2-window + shared vocabulary filter."
exp_win2_sign,"All R/D, Bigram, BIC, 2-win, sign consistency",complete,experiment,bigram,no,bic,no,2,speech,yes,"2-window + sign consistency filter."
exp_win2_sign_shared,"All R/D, Bigram, BIC, 2-win, sign+shared",complete,experiment,bigram,no,bic,0.0001,2,speech,yes,"2-window + both filters."
exp2_tfidf_speech,"Speech-level TF-IDF (Bigram, BIC)",complete,leader,bigram,no,bic,no,1,speech,no,"Phase 1 leader for exp2 speech-level series. Step 05/07 only."
exp2_tfidf_leg,"Legislator-level TF-IDF (Bigram, BIC)",complete,leader,bigram,no,bic,no,1,legislator,no,"Phase 1 leader for exp2 legislator-level series. Step 05/07 only."
exp2_speech_all_bic,"Speech, All R/D, BIC (exp2 series)",incomplete,experiment,bigram,no,bic,no,1,speech,no,"Models only. Reuses exp2_tfidf_speech."
exp2_speech_all_cv,"Speech, All R/D, CV (exp2 series)",incomplete,experiment,bigram,no,cv,no,1,speech,no,"Models + newspapers. Reuses exp2_tfidf_speech."
exp2_speech_core_bic,"Speech, Core 20%, BIC (exp2 series)",incomplete,experiment,bigram,yes,bic,no,1,speech,no,"Models only. Reuses exp2_tfidf_speech."
exp2_speech_core_cv,"Speech, Core 20%, CV (exp2 series)",incomplete,experiment,bigram,yes,cv,no,1,speech,no,"Models only. Reuses exp2_tfidf_speech."
exp2_leg_all_bic,"Legislator, All R/D, BIC (exp2 series)",incomplete,experiment,bigram,no,bic,no,1,legislator,no,"Models only. Reuses exp2_tfidf_leg."
exp2_leg_all_cv,"Legislator, All R/D, CV (exp2 series)",incomplete,experiment,bigram,no,cv,no,1,legislator,no,"Models only. Reuses exp2_tfidf_leg."
exp2_leg_core_bic,"Legislator, Core 20%, BIC (exp2 series)",incomplete,experiment,bigram,yes,bic,no,1,legislator,no,"Models only. Reuses exp2_tfidf_leg."
exp2_leg_core_cv,"Legislator, Core 20%, CV (exp2 series)",incomplete,experiment,bigram,yes,cv,no,1,legislator,no,"Models only. Reuses exp2_tfidf_leg."
